String	Entity	Performance	Usability	Security	Others	Sentiment
"Thanks for your input and the elaborate answer :). I notice that you never actually throw the ,RestRuntimeException,, and it makes me wonder if it is better to use a simple POJO to hold the error data. My concern is that, at construction time, the Exception object gathers the stacktrace, which is unnecessary slowdown. You already have the same stacktrace in the ,BpmRestException"	RestRuntimeException	0	0	0	1	o
"Thanks for your input and the elaborate answer :). I notice that you never actually throw the ,RestRuntimeException,, and it makes me wonder if it is better to use a simple POJO to hold the error data. My concern is that, at construction time, the Exception object gathers the stacktrace, which is unnecessary slowdown. You already have the same stacktrace in the ,BpmRestException"	POJO	0	0	0	0	o
Thanks for the answer. This is exactly what I was looking for. Just one more thing. I think adding the LoopController to the ThreadGroup is enough. Adding it separately to the HashTree is not necessary.	LoopController	0	1	0	0	o
Thanks for the answer. This is exactly what I was looking for. Just one more thing. I think adding the LoopController to the ThreadGroup is enough. Adding it separately to the HashTree is not necessary.	ThreadGroup	0	1	0	0	o
Thanks for the answer. This is exactly what I was looking for. Just one more thing. I think adding the LoopController to the ThreadGroup is enough. Adding it separately to the HashTree is not necessary.	HashTree	0	1	0	0	o
"I copy-pasted this example to my maven project, in which I have dependencies for ApacheJMeter_core and ApacheJMeter_http. What happens to me is that the sampler is never called. I investigated why and it seems that the hash tree being cloned into the JMeterThread is cloned absent the LoopController. So at this part: ,Sampler e = this.threadGroupLoopController.next();                  while(true) {                     while(this.running && e != null) {, it does not execute the loop and the sampler is not called. What gives?"	ApacheJMeter_core	0	1	0	0	o
"I copy-pasted this example to my maven project, in which I have dependencies for ApacheJMeter_core and ApacheJMeter_http. What happens to me is that the sampler is never called. I investigated why and it seems that the hash tree being cloned into the JMeterThread is cloned absent the LoopController. So at this part: ,Sampler e = this.threadGroupLoopController.next();                  while(true) {                     while(this.running && e != null) {, it does not execute the loop and the sampler is not called. What gives?"	ApacheJMeter_http	0	1	0	0	o
"I copy-pasted this example to my maven project, in which I have dependencies for ApacheJMeter_core and ApacheJMeter_http. What happens to me is that the sampler is never called. I investigated why and it seems that the hash tree being cloned into the JMeterThread is cloned absent the LoopController. So at this part: ,Sampler e = this.threadGroupLoopController.next();                  while(true) {                     while(this.running && e != null) {, it does not execute the loop and the sampler is not called. What gives?"	JMeterThread	0	1	0	0	o
"Hi, This is an amazing solution. I just also need it to detect the input language. Is there any way I could do that? 'auto' wont work"	wont	0	0	0	0	p
"Hi, This is an amazing solution. I just also need it to detect the input language. Is there any way I could do that? 'auto' wont work"	work	0	1	0	0	p
"""Arrays and generics don't mix very well. So, if you want to take advantage of generics, you should usually avoid arrays."" -> Urg? can you explain this part? My arrays mix well with my generics..."	Arrays	0	1	0	0	o
"""Arrays and generics don't mix very well. So, if you want to take advantage of generics, you should usually avoid arrays."" -> Urg? can you explain this part? My arrays mix well with my generics..."	generics	0	1	0	0	o
"Guava provides a ,ForwardingSet, class that forwards all calls to a delegate by default. Then you can just override add and addAll."	Guava	0	1	0	0	p
"Guava provides a ,ForwardingSet, class that forwards all calls to a delegate by default. Then you can just override add and addAll."	ForwardingSet	0	1	0	0	p
"I'd suggest not explicitly allocating a HashSet, but instead take a Set<E> argument in the constructor. This then makes NoNullSet a decorator class that can work w/ HashSet or TreeSet or EnumSet or whatever."	HashSet	0	1	0	0	o
"I'd suggest not explicitly allocating a HashSet, but instead take a Set<E> argument in the constructor. This then makes NoNullSet a decorator class that can work w/ HashSet or TreeSet or EnumSet or whatever."	NoNullSet	0	1	0	0	o
"I'd suggest not explicitly allocating a HashSet, but instead take a Set<E> argument in the constructor. This then makes NoNullSet a decorator class that can work w/ HashSet or TreeSet or EnumSet or whatever."	HashSet	0	1	0	0	o
"I'd suggest not explicitly allocating a HashSet, but instead take a Set<E> argument in the constructor. This then makes NoNullSet a decorator class that can work w/ HashSet or TreeSet or EnumSet or whatever."	TreeSet	0	1	0	0	o
"I'd suggest not explicitly allocating a HashSet, but instead take a Set<E> argument in the constructor. This then makes NoNullSet a decorator class that can work w/ HashSet or TreeSet or EnumSet or whatever."	EnumSet	0	1	0	0	o
"I disagree with throwing an ,IllegalArgumentException,. It should be a ,NullPointerException,. Although it's an ,endless discussion,, ,Set.add(), already throws a NPE ,""if the specified element is null and this set does not permit null elements"",. You would be creating different behaviour for the same thing by throwing an ,IllegalArgumentException, now."	IllegalArgumentException	0	0	0	1	o
"I disagree with throwing an ,IllegalArgumentException,. It should be a ,NullPointerException,. Although it's an ,endless discussion,, ,Set.add(), already throws a NPE ,""if the specified element is null and this set does not permit null elements"",. You would be creating different behaviour for the same thing by throwing an ,IllegalArgumentException, now."	NullPointerException	0	0	0	1	o
"I disagree with throwing an ,IllegalArgumentException,. It should be a ,NullPointerException,. Although it's an ,endless discussion,, ,Set.add(), already throws a NPE ,""if the specified element is null and this set does not permit null elements"",. You would be creating different behaviour for the same thing by throwing an ,IllegalArgumentException, now."	IllegalArgumentException	0	0	0	1	o
"It should throw a ,NullPointerException, as defined by the ,Collection, and ,Set, documentations. ,To throws NullPointerException if the specified element is null and this set does not permit null elements,."	NullPointerException	0	0	0	1	o
"It should throw a ,NullPointerException, as defined by the ,Collection, and ,Set, documentations. ,To throws NullPointerException if the specified element is null and this set does not permit null elements,."	To	0	0	0	1	o
"It should throw a ,NullPointerException, as defined by the ,Collection, and ,Set, documentations. ,To throws NullPointerException if the specified element is null and this set does not permit null elements,."	NullPointerException	0	0	0	1	o
"Instead of calling this a ,Composition,, I would say it would be more appropriate to call it an ,Aggregation, because ,Set, class ,CAN EXIST, without its wrapper class i.e ,NoNullSet"	CAN	0	0	0	1	o
"Instead of calling this a ,Composition,, I would say it would be more appropriate to call it an ,Aggregation, because ,Set, class ,CAN EXIST, without its wrapper class i.e ,NoNullSet"	i.e	0	0	0	1	o
"The Guava Solution won't work for Guava 16+ as ,Constraints, was removed (see ,stackoverflow.com/a/33806747/2294031,). ,CollectionUtils.addIgnoreNull, will throw no exception if the object to add is null - so it won't fail as OP intended."	Guava	0	1	0	0	o
"The Guava Solution won't work for Guava 16+ as ,Constraints, was removed (see ,stackoverflow.com/a/33806747/2294031,). ,CollectionUtils.addIgnoreNull, will throw no exception if the object to add is null - so it won't fail as OP intended."	Solution	0	1	0	0	o
Don't forget allAll and the constructors!	allAll	0	0	0	0	n
Don't forget allAll and the constructors!	constructors	0	0	0	0	n
"Actually, addAll and the constructors don't need to be overridden since they are defined in AbstractSet and AbstractCollection to simply call the add method.  So only add really needs to be overridden."	addAll	0	0	0	1	o
"Actually, addAll and the constructors don't need to be overridden since they are defined in AbstractSet and AbstractCollection to simply call the add method.  So only add really needs to be overridden."	AbstractSet	0	0	0	1	o
"Actually, addAll and the constructors don't need to be overridden since they are defined in AbstractSet and AbstractCollection to simply call the add method.  So only add really needs to be overridden."	AbstractCollection	0	0	0	1	o
You are better off wrapping a Set implementation.	Set	0	0	0	0	p
You are better off wrapping a Set implementation.	implementation	0	0	0	0	p
You should not count on addAll() calling add() as that is an implementation detail and may not always be true.	addAll()	0	0	0	0	o
You should not count on addAll() calling add() as that is an implementation detail and may not always be true.	add()	0	0	0	0	o
"Yes, closing the input stream closes the socket. Ditto the output stream. So of course what you should close is always the output stream, so It gets flushed."	socket	0	0	0	1	o
"Yes, closing the input stream closes the socket. Ditto the output stream. So of course what you should close is always the output stream, so It gets flushed."	flushed	0	0	0	1	o
"I am looking for the same To Gregordy but for the ,BluetoothSocket,. It doesn't have method ,shutdownInput(),. Do you have any idea?"	BluetoothSocket	0	1	0	0	o
"I am looking for the same To Gregordy but for the ,BluetoothSocket,. It doesn't have method ,shutdownInput(),. Do you have any idea?"	shutdownInput()	0	1	0	0	o
I am sending data from Android app to PHP using HttpPost and HttpClient but these methods are deprecated in the new update of API 22 so i need some option to that	HttpPost	0	1	0	0	o
I am sending data from Android app to PHP using HttpPost and HttpClient but these methods are deprecated in the new update of API 22 so i need some option to that	HttpClient	0	0	0	0	o
"To DavidUntama Just send it as JSON and then use ,GSON.fromJson, on your server to parse it."	JSON	0	1	0	0	p
"To DavidUntama Just send it as JSON and then use ,GSON.fromJson, on your server to parse it."	GSON.fromJson	0	1	0	0	p
"Read the last sentence of the ,AutoCloseable#close(), method's javadoc."	AutoCloseable#close()	0	0	0	1	o
"Read the last sentence of the ,AutoCloseable#close(), method's javadoc."	method's	0	0	0	1	o
"Read the last sentence of the ,AutoCloseable#close(), method's javadoc."	javadoc	0	0	0	1	o
"I think it has to be with an enhancement for Closeable superclasses, so that the JVM can auto close them on the new JDK versions. Since Closeable only defines that a class implements a close() method, but AutoCloseable would ensure to call the close method."	Closeable	0	0	0	1	o
"I think it has to be with an enhancement for Closeable superclasses, so that the JVM can auto close them on the new JDK versions. Since Closeable only defines that a class implements a close() method, but AutoCloseable would ensure to call the close method."	AutoCloseable	0	0	0	1	o
"you are getting a json string though right? You will need to define your variables too. Then you can do something like obj.translation to get the actual translation. I've never dealt with json in java before, so i really don't know how you would define that variable. Look at example 2 in the link you provided. While the string you have is nested though, but i really don't know how gson would parse that."	json	0	0	0	1	o
"you are getting a json string though right? You will need to define your variables too. Then you can do something like obj.translation to get the actual translation. I've never dealt with json in java before, so i really don't know how you would define that variable. Look at example 2 in the link you provided. While the string you have is nested though, but i really don't know how gson would parse that."	obj.translation	0	1	0	1	o
"To krio, thats fine, but i would go with kevins answer. gson looks to be more up to date and robust."	kevins	0	0	0	1	n
"To krio, thats fine, but i would go with kevins answer. gson looks to be more up to date and robust."	answer	0	0	0	0	n
"To krio, thats fine, but i would go with kevins answer. gson looks to be more up to date and robust."	gson	0	0	0	1	n
i use the same thing throughout my application. what is our opinion JSON parsing or OBJECT MODELLING	parsing	0	0	0	1	o
i use the same thing throughout my application. what is our opinion JSON parsing or OBJECT MODELLING	OBJECT	0	0	0	1	o
"hm, it looks like it is not a pure implementation, but rather a wrapper over binary - or am I wrong?"	implementation	0	0	0	0	o
"hm, it looks like it is not a pure implementation, but rather a wrapper over binary - or am I wrong?"	wrapper	0	0	0	0	o
"I haven't yet tried using them, but if I am using JavaFX I'd prefer to wait until 2.0 came out and that horrible JavaFX script was deprecated. JavaFX on the desktop is possible with the current versions sure - but all the examples I've seen using video are rather hacky and usually depend on internals that might change from release to release."	them	0	1	0	0	o
"I haven't yet tried using them, but if I am using JavaFX I'd prefer to wait until 2.0 came out and that horrible JavaFX script was deprecated. JavaFX on the desktop is possible with the current versions sure - but all the examples I've seen using video are rather hacky and usually depend on internals that might change from release to release."	JavaFX	0	1	0	0	o
"I've also tried FMJ in the past without managing to get it to work, and have spoken to others who have ended up in a similar situation! I'm in two minds about VLCJ - on the face of it it looks very good, it's got hefty media support and has native binaries for multiple platforms. But the amount of crashes (and I mean full on VM blowouts, not just errors and exceptions being thrown) that I've been getting when using it has been horrific. Hopefully this will improve in the future, but for a user friendly application like the one I'm trying to develop at the moment it unfortunately rules it out."	FMJ	0	1	0	0	p
"I've also tried FMJ in the past without managing to get it to work, and have spoken to others who have ended up in a similar situation! I'm in two minds about VLCJ - on the face of it it looks very good, it's got hefty media support and has native binaries for multiple platforms. But the amount of crashes (and I mean full on VM blowouts, not just errors and exceptions being thrown) that I've been getting when using it has been horrific. Hopefully this will improve in the future, but for a user friendly application like the one I'm trying to develop at the moment it unfortunately rules it out."	VLCJ	0	1	0	0	p
"I tried the same using authentication twitter instance of my personal ID which is also public, btw.  PS: I am sorry for posting the error in such unformatted format. I have tried all HTML tags including <code> and <blockquote> tags."	<code>	0	0	0	1	o
"I tried the same using authentication twitter instance of my personal ID which is also public, btw.  PS: I am sorry for posting the error in such unformatted format. I have tried all HTML tags including <code> and <blockquote> tags."	<blockquote>	0	0	0	1	o
"Tyler, Thanks for the response. I am able to retrieve the tweets today! The API is very erratic in it's output as I'm testing the same since the past two days. In any case, The next problem though is that the code works ONLY for the paging parameters 1,100. I tried for different public usernames but in vain. The API limitation is 3200 {16,200} with a count of 200 per request as mentioned on the website. However, I am unable to avail the functionality."	The	0	1	0	0	o
"Tyler, Thanks for the response. I am able to retrieve the tweets today! The API is very erratic in it's output as I'm testing the same since the past two days. In any case, The next problem though is that the code works ONLY for the paging parameters 1,100. I tried for different public usernames but in vain. The API limitation is 3200 {16,200} with a count of 200 per request as mentioned on the website. However, I am unable to avail the functionality."	API	0	1	0	0	o
"There is also ,getFirst(), and ,getLast(), in the ,Deque, interface"	getFirst()	0	0	0	1	o
"There is also ,getFirst(), and ,getLast(), in the ,Deque, interface"	getLast()	0	0	0	1	o
"As explained by others ,head(), and ,tail(), can be implemented trivially. But I want to caution you against the ,return null, part -- don't do it unless you have very good reason."	head()	0	1	0	0	o
"As explained by others ,head(), and ,tail(), can be implemented trivially. But I want to caution you against the ,return null, part -- don't do it unless you have very good reason."	tail()	0	1	0	1	o
"Downvoted question for confusing incorrect terminology. Please reword the question, replacing ""head"" with ""last"" (at least, this is the Haskell name for what's implemented here)."	head	0	0	0	1	o
"Downvoted question for confusing incorrect terminology. Please reword the question, replacing ""head"" with ""last"" (at least, this is the Haskell name for what's implemented here)."	last	0	0	0	1	o
"I'm sorry that this is confusing for you, but in the java api doc, the terms ""head"" and ""tail"" are used numerous times, so I guess for this context these are the right terms."	head	0	1	0	1	o
"I'm sorry that this is confusing for you, but in the java api doc, the terms ""head"" and ""tail"" are used numerous times, so I guess for this context these are the right terms."	tail	0	1	0	1	o
"To averasko, I don't think there is a valid way to define head() / tail() on an empty list"	head()	0	1	0	1	n
"To averasko, I don't think there is a valid way to define head() / tail() on an empty list"	tail()	0	1	0	1	n
I had a shot at implementing the functional quicksort in Java in my answer. Not as concise as Haskell but doable.	quicksort	0	1	0	0	p
I had a shot at implementing the functional quicksort in Java in my answer. Not as concise as Haskell but doable.	Java	0	1	0	0	p
Is it necessary that my github repo should only contain library module and not app modules?	github	0	0	0	1	o
Is it necessary that my github repo should only contain library module and not app modules?	repo	0	0	0	0	o
"Hi, you can try looking at my question here: ,stackoverflow.com/questions/22903957 ,  See if that helps. :)"	here	0	0	0	1	o
"Hi, you can try looking at my question here: ,stackoverflow.com/questions/22903957 ,  See if that helps. :)"	stackoverflow.com/questions/22903957	0	0	0	1	o
"Hey, sorry that it's been a while since my last reply, I gave up working on this project until I saw that someone has answered my old thread. I think, I understood the most of how to get started with this project, but now I'm stuck at the ,""apiStorage"",-point. In the readme.md of ex3ndr's-gitHub-page it says, the ""Telegram-Api""-Object requires an ""ApiStorage""-object, created by ,""new MyApiStorage"",. But ,I can't find that ""MyApiStorage""-class,, so what should I put there?"	apiStorage-point	0	0	0	1	n
"Hey, sorry that it's been a while since my last reply, I gave up working on this project until I saw that someone has answered my old thread. I think, I understood the most of how to get started with this project, but now I'm stuck at the ,""apiStorage"",-point. In the readme.md of ex3ndr's-gitHub-page it says, the ""Telegram-Api""-Object requires an ""ApiStorage""-object, created by ,""new MyApiStorage"",. But ,I can't find that ""MyApiStorage""-class,, so what should I put there?"	Telegram-Api-Object	0	0	0	1	o
"The ,MyApiStorage, bit is the complicated part. You'll need to make a class that implements the ,org.telegram.api.engine.storage.AbsApiState, interface, and use that as the first argument to the constructor. Your IDE should be able to help build a skeleton class to get you started..."	MyApiStorage	0	1	0	1	o
"The ,MyApiStorage, bit is the complicated part. You'll need to make a class that implements the ,org.telegram.api.engine.storage.AbsApiState, interface, and use that as the first argument to the constructor. Your IDE should be able to help build a skeleton class to get you started..."	org.telegram.api.engine.storage.AbsApiState	0	1	0	1	o
"Hello, I've read and tried to implement the example given here and unfortunately it doesn't work. It says also that the only thing I have to do is to fullfill the blanks in the example application but id doesn't seem to have any ""blanks"" to fullfill. The example in command line is in C, so I'm afraid it doesn't match for the cases I need.  I solved the problem of the AbsApiState, but I get an TimeoutException. Again, it seems that one of these timeouts is caused by Linux (java must use /dev/urandom instead of /dev/random), but after that I get another Timeout. Sorry but this is too much for me"	AbsApiState	0	0	0	1	o
"Hello, I've read and tried to implement the example given here and unfortunately it doesn't work. It says also that the only thing I have to do is to fullfill the blanks in the example application but id doesn't seem to have any ""blanks"" to fullfill. The example in command line is in C, so I'm afraid it doesn't match for the cases I need.  I solved the problem of the AbsApiState, but I get an TimeoutException. Again, it seems that one of these timeouts is caused by Linux (java must use /dev/urandom instead of /dev/random), but after that I get another Timeout. Sorry but this is too much for me"	/dev/urandom	0	0	0	0	o
"Hello, I've read and tried to implement the example given here and unfortunately it doesn't work. It says also that the only thing I have to do is to fullfill the blanks in the example application but id doesn't seem to have any ""blanks"" to fullfill. The example in command line is in C, so I'm afraid it doesn't match for the cases I need.  I solved the problem of the AbsApiState, but I get an TimeoutException. Again, it seems that one of these timeouts is caused by Linux (java must use /dev/urandom instead of /dev/random), but after that I get another Timeout. Sorry but this is too much for me"	/dev/random)	0	0	0	1	o
"To copy the streams, you can also use Apache Commons IO's ,IOUtils.copyLarge,."	Commons	0	1	0	0	o
"To copy the streams, you can also use Apache Commons IO's ,IOUtils.copyLarge,."	IOUtils.copyLarge	0	1	0	0	o
"check this question: ,stackoverflow.com/questions/102325 "	question	0	0	0	1	o
"check this question: ,stackoverflow.com/questions/102325 "	stackoverflow.com/questions/102325	0	0	0	1	o
"You cannot have an undetermined amount of properties in a java bean as well. The topic which you linked basically shows and answers the same: ,use an array property,. Your problem is just the misunderstanding/misconception of basic OO principles, not JSON/Java."	You	0	1	0	0	o
"You cannot have an undetermined amount of properties in a java bean as well. The topic which you linked basically shows and answers the same: ,use an array property,. Your problem is just the misunderstanding/misconception of basic OO principles, not JSON/Java."	JSON/Java	0	1	0	0	o
"I was unable to find settings-->about phone etc.. so I ran  ,adb shell, ,ifconfig,  ,with result:,  10.0.2.15"	shell	0	0	0	1	o
"I was unable to find settings-->about phone etc.. so I ran  ,adb shell, ,ifconfig,  ,with result:,  10.0.2.15"	ifconfig	0	0	0	1	o
"Thank you for your Answer, I waited for over a month now to see if anybody could come up with a better idea, but unfortunately not... My current solution is to use system commands (ps and kill) to terminate OOo in this situation because it hangs totally. It seems like a huge mess in there :( Anyway, I'll mark your answer as correct, thanks again."	(ps	0	1	0	0	o
"Thank you for your Answer, I waited for over a month now to see if anybody could come up with a better idea, but unfortunately not... My current solution is to use system commands (ps and kill) to terminate OOo in this situation because it hangs totally. It seems like a huge mess in there :( Anyway, I'll mark your answer as correct, thanks again."	kill)	0	1	0	0	o
"To ndomanyo My try with Yowsup was few months back. So my comments could be outdated. But yes, after successfully using Yowsup, when I started getting high traffic, my number was blocked by Whatsapp. I dont know if there has been any change in the policy since then.   User agent is basically device information. I tried using it as a hack to make whatsapp server believe I was on a mobile device and not a server. But then my number was shut down so I cannot say i was successful."	Yowsup	0	0	0	1	n
"To ndomanyo My try with Yowsup was few months back. So my comments could be outdated. But yes, after successfully using Yowsup, when I started getting high traffic, my number was blocked by Whatsapp. I dont know if there has been any change in the policy since then.   User agent is basically device information. I tried using it as a hack to make whatsapp server believe I was on a mobile device and not a server. But then my number was shut down so I cannot say i was successful."	Yowsup	0	0	0	1	n
"What are you using for your REST layer and what are you using for XML/JSON binding?  I'm using Jersey and EclipseLink MOXy.  When the client does a PUT to perform an update, I retrieve a persistent instance of my object from the service layer and then copy only the fields that were changed in the PUT onto the persistent instance.  Essentially, I'm able to handle a PUT that only contains some fields. To do this, I wrote some code for MOXy that gives me a List of setters that were called during the unmarshalling process.  If you're interested I can elaborate my setup in an answer."	Jersey	0	1	0	0	o
"What are you using for your REST layer and what are you using for XML/JSON binding?  I'm using Jersey and EclipseLink MOXy.  When the client does a PUT to perform an update, I retrieve a persistent instance of my object from the service layer and then copy only the fields that were changed in the PUT onto the persistent instance.  Essentially, I'm able to handle a PUT that only contains some fields. To do this, I wrote some code for MOXy that gives me a List of setters that were called during the unmarshalling process.  If you're interested I can elaborate my setup in an answer."	EclipseLink	0	1	0	0	o
You need to make a request to a secure https API. right?	https	0	0	0	1	o
You need to make a request to a secure https API. right?	API	0	0	0	1	o
You need to make a request to a secure https API. right?	right	0	0	0	1	o
"Security-wise, this is not a fix, but a backdoor. Still, if you are officially required to do this... thank you for the code snippet anyhow."	fix	0	0	0	1	p
"Security-wise, this is not a fix, but a backdoor. Still, if you are officially required to do this... thank you for the code snippet anyhow."	anyhow	0	0	0	1	o
"Device I/O has some recent threads on its mailing list: ,mail.openjdk.java.net/pipermail/dio-dev, However we have to see, how Java 9 Embedded looks like to tell, if DIO is offered as optional module then."	Device	0	1	0	1	o
"Device I/O has some recent threads on its mailing list: ,mail.openjdk.java.net/pipermail/dio-dev, However we have to see, how Java 9 Embedded looks like to tell, if DIO is offered as optional module then."	I/O	0	1	0	1	o
"keep in mind that all those methods are mandatory in map: ,developer.android.com/reference/java/util/Map.html, (also, if you call it a map for higher abstraction, you can't use the SparseIntArray specific functions. And iterating using ,size, and ,keyAt, is designed to be more efficient that the ,entrySet, from ,Map,, while being a little less convenient)"	keyAt	0	1	0	1	o
"keep in mind that all those methods are mandatory in map: ,developer.android.com/reference/java/util/Map.html, (also, if you call it a map for higher abstraction, you can't use the SparseIntArray specific functions. And iterating using ,size, and ,keyAt, is designed to be more efficient that the ,entrySet, from ,Map,, while being a little less convenient)"	entrySet	0	1	0	1	o
"keep in mind that all those methods are mandatory in map: ,developer.android.com/reference/java/util/Map.html, (also, if you call it a map for higher abstraction, you can't use the SparseIntArray specific functions. And iterating using ,size, and ,keyAt, is designed to be more efficient that the ,entrySet, from ,Map,, while being a little less convenient)"	Map	0	1	0	0	o
"1st point: I disagree. ,entrySet, and ,keySet, wouldn't be hard to implement, would run in ,n, time, and have no performance penalty if they were unused. 2nd point: Yep, I think that's the real answer, but Omkar beat you to it. :-) 3rd point: This doesn't answer the question ,why,. It is indeed what prompted the question闂傚倸鍊烽懗鍫曞磻閵娾晛纾块柡灞诲劚缂佲晝绱掗妸銉ョ函standard API is a pain."	disagree	1	0	0	0	p
"1st point: I disagree. ,entrySet, and ,keySet, wouldn't be hard to implement, would run in ,n, time, and have no performance penalty if they were unused. 2nd point: Yep, I think that's the real answer, but Omkar beat you to it. :-) 3rd point: This doesn't answer the question ,why,. It is indeed what prompted the question闂傚倸鍊烽懗鍫曞磻閵娾晛纾块柡灞诲劚缂佲晝绱掗妸銉ョ函standard API is a pain."	entrySet	1	0	0	0	p
"1st point: I disagree. ,entrySet, and ,keySet, wouldn't be hard to implement, would run in ,n, time, and have no performance penalty if they were unused. 2nd point: Yep, I think that's the real answer, but Omkar beat you to it. :-) 3rd point: This doesn't answer the question ,why,. It is indeed what prompted the question闂傚倸鍊烽懗鍫曞磻閵娾晛纾块柡灞诲劚缂佲晝绱掗妸銉ョ函standard API is a pain."	keySet	1	0	0	0	p
Haha I know that's the puzzling thing.  It looks like the intent is being launched successfully but it just closes a second or two after launch.	puzzling	0	0	0	1	o
Haha I know that's the puzzling thing.  It looks like the intent is being launched successfully but it just closes a second or two after launch.		0	1	0	0	o
"Thank you for your post!  Unfortunately, this was not the issue.  I have already enabled the Google Places API for Android API in my application."	Places	0	0	0	0	o
"Thank you for your post!  Unfortunately, this was not the issue.  I have already enabled the Google Places API for Android API in my application."	Android	0	1	0	0	o
"You deserve a prize! Thanks, To YvetteColomb"	To	0	1	0	0	p
"You deserve a prize! Thanks, To YvetteColomb"	YvetteColomb	0	0	0	0	p
Would a parametrized type with an enum be a possibility? Or is this not possible (at all).	parametrized	0	0	0	1	o
Would a parametrized type with an enum be a possibility? Or is this not possible (at all).	all)	0	0	0	1	o
"To MarkTielemans The messages have many similarities, but also many differences. Say the HelloResponse contains the serial number of the device. I would like the HelloResponse object to have a getSerialNumber() method. How could I achieve this with generics?"	The	0	0	0	1	o
"To MarkTielemans The messages have many similarities, but also many differences. Say the HelloResponse contains the serial number of the device. I would like the HelloResponse object to have a getSerialNumber() method. How could I achieve this with generics?"	HelloResponse	0	0	0	1	o
"To MarkTielemans The messages have many similarities, but also many differences. Say the HelloResponse contains the serial number of the device. I would like the HelloResponse object to have a getSerialNumber() method. How could I achieve this with generics?"	HelloResponse	0	0	0	1	o
I like the idea: that's more of a callback approach.	idea	0	0	0	0	o
I like the idea: that's more of a callback approach.	callback	0	0	0	1	p
"To ssube In this case, yes, it is throwing Exception itself. I made some clarifications."	Exception	0	0	0	1	o
"To ssube In this case, yes, it is throwing Exception itself. I made some clarifications."	itself	0	0	0	1	o
"Your answer summarizes very well why this question is ,not, opinion-based."	not	0	0	0	0	o
"Your answer summarizes very well why this question is ,not, opinion-based."	opinion-based	0	0	0	1	o
"Possibly related: ,serverfault.com/questions/638659 "	related	0	0	0	1	o
"Possibly related: ,serverfault.com/questions/638659 "	serverfault.com/questions/638659	0	0	0	1	o
"jogl moved from java.net to jogamp: ,jogamp.org, you linked the old project home."	java.net	0	0	0	0	o
"jogl moved from java.net to jogamp: ,jogamp.org, you linked the old project home."	jogamp	0	0	0	0	o
I would like to add irrlicht too.	irrlicht	0	0	0	1	o
I would like to add irrlicht too.	too	0	1	0	1	p
"JOGL is a part of JogAmp, which contains a Java binding for the OpenAL API and the OpenCL API too (JOAL and JOCL)."	JOGL	0	0	0	1	o
"JOGL is a part of JogAmp, which contains a Java binding for the OpenAL API and the OpenCL API too (JOAL and JOCL)."	JOCL)	0	0	0	1	o
In the middle of the answer I just scrolled up to up vote it before I forgetting it!. thank you so much. Using some services such as AWS Cognito or similar is a good choice?	AWS	0	0	0	0	p
In the middle of the answer I just scrolled up to up vote it before I forgetting it!. thank you so much. Using some services such as AWS Cognito or similar is a good choice?	Cognito	0	0	0	0	p
"possible duplicate of ,How can I create avd for the Samsung Galaxy S4 (1080X1920)"	How	0	0	0	1	o
"possible duplicate of ,How can I create avd for the Samsung Galaxy S4 (1080X1920)"	(1080X1920)	0	0	0	1	o
"Probably yes, but it must also be possible with JPA I guess and I don't want to introduce sql dependency in the code right now."	JPA	0	1	0	1	o
"Probably yes, but it must also be possible with JPA I guess and I don't want to introduce sql dependency in the code right now."	I	0	1	0	0	o
"To Jelmer, BB defaults to US if no calendar code is passed in, which works for the UXA and AAPL examples here since they're both US securities. It seems the security passed in is somewhat irrelevant, and AM (or NE rather) would do Dutch holidays, and JN the Japan ones."	UXA	0	0	0	1	n
"To Jelmer, BB defaults to US if no calendar code is passed in, which works for the UXA and AAPL examples here since they're both US securities. It seems the security passed in is somewhat irrelevant, and AM (or NE rather) would do Dutch holidays, and JN the Japan ones."	AAPL	0	0	0	1	n
"To Jelmer, BB defaults to US if no calendar code is passed in, which works for the UXA and AAPL examples here since they're both US securities. It seems the security passed in is somewhat irrelevant, and AM (or NE rather) would do Dutch holidays, and JN the Japan ones."	holidays	0	0	0	1	n
"Sure, all of the above are Java frameworks, including Grails - which is built on top of Spring."	Grails	0	0	0	1	o
"Sure, all of the above are Java frameworks, including Grails - which is built on top of Spring."	Spring	0	0	0	1	o
"Grails is a ,Groovy, (not Java) Rails-like framework. Many of its features, including GORM, cannot be used effectively from Java code."	Grails	0	1	0	0	p
"Grails is a ,Groovy, (not Java) Rails-like framework. Many of its features, including GORM, cannot be used effectively from Java code."	GORM	0	1	0	0	n
"No indeed, which is why I said ""If you're not using a web framework like that (Grails) then it'll prob be some sort of ORM framework""...  My mistake for blanketing Grails as a Java based framework - it is indeed Groovy not Java..."	blanketing	0	1	0	1	o
"No indeed, which is why I said ""If you're not using a web framework like that (Grails) then it'll prob be some sort of ORM framework""...  My mistake for blanketing Grails as a Java based framework - it is indeed Groovy not Java..."	Grails	0	1	0	0	o
"You could pass the method reference directely instead of creating a lambda: ,forEach(System.out::println),. However, it's just a matter of style."	directely	0	0	0	0	o
"You could pass the method reference directely instead of creating a lambda: ,forEach(System.out::println),. However, it's just a matter of style."	lambda	0	0	0	1	o
"Also, it is better practice to ,program to an interface,, like ,Map<String, Double> missions = new HashMap<>();"	Map<String	0	1	0	0	o
